id,movie_id,image,original_title,title,release_year,rating,
1,663712,/b6IRp6Pl2Fsq37r9jFhGoLtaqHm.jpg,Terrifier 2,테리파이어 2,2022-10-06,7.1,
2,436270,/mEdMHGy1FfCUc7PskFO0tibm8jp.jpg,Black Adam,블랙 아담,2022-10-19,6.9,
3,732459,/kjFDIlUCJkcpFxYKtE6OsGcAfQQ.jpg,Blade of the 47 Ronin,Blade of the 47 Ronin,2022-10-25,6.7,
4,420634,/6PQqC4SbY910VvyVad6mvsboILU.jpg,Terrifier,테리파이어,2016-10-15,6.6,
5,675054,/pTxw4GFE3ZfzJfvuUsPyD5njAuI.jpg,MexZombies,MexZombies,2022-10-26,7.3,
6,985939,/8huJowZK1t7MNLEKo3dgLAxmiLW.jpg,Fall,폴: 600미터,2022-08-11,7.3,
7,717728,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg,Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,2022-09-15,5.7,
8,642885,/xpDdvIaTHn38F17pPseL1MQI05B.jpg,Hocus Pocus 2,호커스 포커스 2,2022-09-27,7.6,
9,86328,/gb6rq2nD0jRrN0dCzigg2MxXNsB.jpg,Terrifier,테리파이어,2011-08-09,6.5,
10,760161,/vKIhsEVEtLTwTkmLSDNi230Zr3Q.jpg,Orphan: First Kill,오펀: 천사의 탄생,2022-07-27,6.8,
11,575322,/iVwd4NKcvWIfxP36DsCBHd7lqEE.jpg,Звёздный разум,제미나이: 지구 최후의 날,2022-01-06,5.6,
12,354912,/6AANwKhjIEVyya95oW4IA6joL1Z.jpg,Coco,코코,2017-10-27,8.2,
13,928123,/ugiL6wIhl1OfPyv1gqLkTe45jLl.jpg,?津湖之水??,장진호지수문교,2022-02-01,6.4,
14,718930,/msh4N8dxHk4FeEPZ8VBqHQFQYjI.jpg,Bullet Train,불릿 트레인,2022-07-03,7.5,
15,532639,/aFVjf2zcFzoNgbDKDEHiIw2g1DR.jpg,Pinocchio,피노키오,2022-09-07,6.7,
16,960704,/qJD1kg5vrKKllZaZWyELVdxdbid.jpg,鋼の?金術師 完結編 最後の?成,강철의 연금술사 완결편: 최후의 연성,2022-06-24,6.3,
